imdb_id,age
tt0066808,teen
tt0095159,adult
tt0079470,adult
tt0059243,na
tt0061418,adult
tt0046912,kid
tt0092890,teen
tt0105236,adult
tt0091763,adult
tt0098627,teen
tt0103772,adult
tt0101761,adult
tt0104036,adult
tt0104348,adult
tt0084707,adult
tt0083866,kid
tt0099371,teen
tt0092099,kid
tt0044081,kid
tt0116378,adult
tt0117318,adult
tt0072081,kid
tt0101775,teen
tt0096754,teen
tt0080749,adult
tt0082340,adult
tt0082533,adult
tt0071853,kid
tt0115610,adult
tt0101700,adult
tt0116209,adult
tt0097937,adult
tt0105488,kid
tt0102370,adult
tt0100332,adult
tt0073486,adult
tt0080684,kid
tt0093779,kid
tt0082971,kid
tt0090605,adult
tt0060196,adult
tt0050083,na
tt0056172,kid
tt0066921,adult
tt0056592,na
tt0078788,adult
tt0064116,teen
tt0086190,kid
tt0093191,teen
tt0099685,adult
tt0078748,adult
tt0089881,adult
tt0054215,adult
tt0080455,adult
tt0071562,adult
tt0093058,adult
tt0086879,kid
tt0081398,adult
tt0075686,kid
tt0086197,kid
tt0082096,adult
tt0070735,kid
tt0088247,adult
tt0103873,adult
tt0097441,adult
tt0100150,adult
tt0097165,kid
tt0061722,kid
tt0052311,teen
tt0050212,kid
tt0071315,adult
tt0040897,na
tt0081505,adult
tt0092005,adult
tt0092991,adult
tt0057115,na
tt0077416,adult
tt0107048,kid
tt0105695,adult
tt0056218,teen
tt0088763,kid
tt0101921,teen
tt0066206,kid
tt0094625,adult
tt0091203,adult
tt0061512,kid
tt0072431,kid
tt0102536,adult
tt0032553,na
tt0032455,kid
tt0044706,na
tt0052618,kid
tt0088258,adult
tt0097576,teen
tt0083987,kid
tt0096332,adult
tt0091867,na
tt0084503,adult
tt0087553,adult
tt0049223,kid
tt0064115,kid
tt0087884,adult
tt0098635,adult
tt0103644,adult
tt0082010,adult
tt0056869,teen
tt0103874,adult
tt0103919,adult
tt0101540,adult
tt0074285,adult
tt0087800,adult
tt0075005,adult
tt0117731,teen
tt0117666,adult
tt0116705,kid
tt0117372,kid
tt0117477,adult
tt0115433,kid
tt0099423,adult
tt0079945,na
tt0102975,kid
tt0098382,kid
tt0084726,kid
tt0088170,kid
tt0092007,kid
tt0103776,teen
tt0096487,adult
tt0077631,kid
tt0084021,kid
tt0100114,adult
tt0105690,adult
tt0073195,kid
tt0077766,kid
tt0085750,kid
tt0116996,teen
tt0115906,adult
tt0116695,adult
tt0093822,teen
tt0116999,teen
tt0117571,adult
tt0104691,adult
tt0116250,kid
tt0120390,adult
tt0119664,adult
tt0118928,teen
tt0119937,teen
tt0118548,adult
tt0120434,kid
tt0116922,adult
tt0120036,adult
tt0119008,adult
tt0116743,adult
tt0119951,adult
tt0120053,teen
tt0119528,teen
tt0120094,kid
tt0118972,adult
tt0118829,kid
tt0120389,kid
tt0118623,teen
tt0118615,teen
tt0118655,teen
tt0118771,adult
tt0119116,teen
tt0119578,adult
tt0119567,teen
tt0118880,adult
tt0120179,teen
tt0117724,adult
tt0118688,teen
tt0119282,kid
tt0119738,teen
tt0057345,na
tt0119094,adult
tt0119654,teen
tt0120133,kid
tt0118884,kid
tt0119173,adult
tt0082198,adult
tt0118887,adult
tt0119081,adult
tt0120177,adult
tt0118570,kid
tt0119896,teen
tt0118883,adult
tt0120207,teen
tt0119675,adult
tt0118571,adult
tt0118531,adult
tt0099810,kid
tt0119488,adult
tt0120102,teen
tt0119468,adult
tt0120524,adult
tt0119174,adult
tt0119123,adult
tt0120399,adult
tt0119349,adult
tt0118842,adult
tt0119164,adult
tt0119345,adult
tt0118971,adult
tt0119906,adult
tt0119324,adult
tt0119177,teen
tt0119210,adult
tt0083131,adult
tt0118689,teen
tt0119592,teen
tt0119832,adult
tt0119978,teen
tt0118749,adult
tt0090329,adult
tt0120201,adult
tt0107282,adult
tt0120148,teen
tt0119707,teen
tt0120382,kid
tt0119395,adult
tt0118617,kid
tt0120483,kid
tt0118583,adult
tt0118607,adult
tt0118954,adult
tt0119137,kid
tt0119142,teen
tt0119217,adult
tt0119303,kid
tt0119668,adult
tt0119715,kid
tt0120082,adult
tt0120255,adult
tt0120338,teen
tt0120347,teen
tt0119925,adult
tt0119314,teen
tt0119396,adult
tt0119485,teen
tt0118715,adult
tt0119223,adult
tt0120885,adult
tt0118929,adult
tt0120696,adult
tt0120693,adult
tt0120122,kid
tt0120185,kid
tt0118956,adult
tt0120008,adult
tt0119784,adult
tt0118747,teen
tt0120888,teen
tt0120184,teen
tt0119822,teen
tt0099939,adult
tt0120873,teen
tt0120769,teen
tt0120890,na
tt0124179,adult
tt0120772,adult
tt0120645,kid
tt0120738,teen
tt0120176,kid
tt0120632,teen
tt0124718,adult
tt0120906,adult
tt0118577,adult
tt0117786,teen
tt0120841,adult
tt0120609,adult
tt0120647,teen
tt0120531,adult
tt0120800,kid
tt0120685,teen
tt0118798,adult
tt0120669,adult
tt0120777,adult
tt0120787,adult
tt0120828,teen
tt0127723,teen
tt0118849,kid
